DEBUG 2024-10-26 13:52:18,792 utils (0.002) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."username" = 'Mark' LIMIT 21; args=('Mark',); alias=default
DEBUG 2024-10-26 13:52:55,590 utils (0.002) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."username" = 'Mark' LIMIT 21; args=('Mark',); alias=default
DEBUG 2024-10-26 13:56:36,122 utils (0.002) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."username" = 'Mark' LIMIT 21; args=('Mark',); alias=default
DEBUG 2024-10-26 13:57:12,022 utils (0.002) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."username" = 'Mark' LIMIT 21; args=('Mark',); alias=default
DEBUG 2024-10-26 14:05:38,107 utils (0.002) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."username" = 'Mark' LIMIT 21; args=('Mark',); alias=default
DEBUG 2024-10-26 14:06:15,787 utils (0.002) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."username" = 'Mark' LIMIT 21; args=('Mark',); alias=default
DEBUG 2024-10-26 14:08:13,587 utils (0.002) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."username" = 'Mark' LIMIT 21; args=('Mark',); alias=default
DEBUG 2024-10-26 14:08:49,489 utils (0.002) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."username" = 'Mark' LIMIT 21; args=('Mark',); alias=default
DEBUG 2024-10-26 14:09:49,920 utils (0.002) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."username" = 'Mark' LIMIT 21; args=('Mark',); alias=default
DEBUG 2024-10-26 14:10:27,105 utils (0.002) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."username" = 'Mark' LIMIT 21; args=('Mark',); alias=default
INFO 2024-10-26 17:13:37,962 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-26 17:13:37,963 autoreload Waiting for apps ready_event.
DEBUG 2024-10-26 17:13:38,250 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-26 17:13:38,307 autoreload Watching dir C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\debug_toolbar\templates with glob **/*.
DEBUG 2024-10-26 17:13:38,307 autoreload Watching dir C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-10-26 17:13:38,307 autoreload Watching dir C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\captcha\templates with glob **/*.
DEBUG 2024-10-26 17:13:38,307 autoreload Watching dir C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\users_service\users_app\templates with glob **/*.
DEBUG 2024-10-26 17:13:38,307 autoreload Watching dir C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\users_service\locale with glob **/*.mo.
DEBUG 2024-10-26 17:13:38,308 autoreload Watching dir C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-10-26 17:13:38,308 autoreload Watching dir C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-10-26 17:13:38,308 autoreload Watching dir C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\debug_toolbar\locale with glob **/*.mo.
DEBUG 2024-10-26 17:13:38,308 autoreload Watching dir C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\captcha\locale with glob **/*.mo.
DEBUG 2024-10-26 17:13:38,308 autoreload Watching dir C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\users_service\users_app\locale with glob **/*.mo.
DEBUG 2024-10-26 17:13:38,376 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-10-26 17:13:38,380 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-10-26 17:13:38,564 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\email\feedparser.py first seen with mtime 1680642250.0
DEBUG 2024-10-26 17:13:38,564 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\rest_framework_simplejwt\views.py first seen with mtime 1729419881.7003665
DEBUG 2024-10-26 17:13:38,565 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1727679760.7550287
DEBUG 2024-10-26 17:13:38,565 autoreload File C:\mark\programs\PyCharm Community Edition 2023.1.2\plugins\python-ce\helpers\pydev\_pydevd_bundle\pydevd_frame.py first seen with mtime 1727299494.0
DEBUG 2024-10-26 17:13:38,565 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1727679758.8781285
DEBUG 2024-10-26 17:13:38,565 autoreload File C:\mark\programs\PyCharm Community Edition 2023.1.2\plugins\python-ce\helpers\pydev\_pydevd_bundle\pydevd_asyncio_provider.py first seen with mtime 1727299494.0
DEBUG 2024-10-26 17:13:38,565 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\debug_toolbar\panels\sql\__init__.py first seen with mtime 1728368707.9605808
DEBUG 2024-10-26 17:13:38,566 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1727679759.380578
DEBUG 2024-10-26 17:13:38,566 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\http\cookie.py first seen with mtime 1727679760.8666546
DEBUG 2024-10-26 17:13:38,566 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\fnmatch.py first seen with mtime 1680642250.0
DEBUG 2024-10-26 17:13:38,566 autoreload File C:\mark\programs\PyCharm Community Edition 2023.1.2\plugins\python-ce\helpers\pydev\pydev_ipython\inputhook.py first seen with mtime 1727299494.0
DEBUG 2024-10-26 17:13:38,566 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\core\wsgi.py first seen with mtime 1727679760.6895702
DEBUG 2024-10-26 17:13:38,566 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\utils\formats.py first seen with mtime 1727679760.9007967
DEBUG 2024-10-26 17:13:38,567 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1727679759.5116787
DEBUG 2024-10-26 17:13:38,567 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\contrib\sessions\backends\base.py first seen with mtime 1727679760.4038916
DEBUG 2024-10-26 17:13:38,567 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\datetime.py first seen with mtime 1680642250.0
DEBUG 2024-10-26 17:13:38,567 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1727679760.5561736
DEBUG 2024-10-26 17:13:38,567 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\urllib3\http2\probe.py first seen with mtime 1728389370.7029784
DEBUG 2024-10-26 17:13:38,567 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1727679760.8041205
DEBUG 2024-10-26 17:13:38,568 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1727679759.5136795
DEBUG 2024-10-26 17:13:38,568 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1727679760.7570274
DEBUG 2024-10-26 17:13:38,568 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\email\charset.py first seen with mtime 1680642250.0
DEBUG 2024-10-26 17:13:38,568 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1727679760.7490287
DEBUG 2024-10-26 17:13:38,568 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1728389370.6939697
DEBUG 2024-10-26 17:13:38,568 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\rest_framework\utils\model_meta.py first seen with mtime 1728038708.1622329
DEBUG 2024-10-26 17:13:38,569 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\xmlrpc\__init__.py first seen with mtime 1680642250.0
DEBUG 2024-10-26 17:13:38,569 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1727679760.7956023
DEBUG 2024-10-26 17:13:38,569 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\thread.py first seen with mtime 1680642250.0
DEBUG 2024-10-26 17:13:38,569 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\importlib\metadata\__init__.py first seen with mtime 1680642250.0
DEBUG 2024-10-26 17:13:38,569 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\http\client.py first seen with mtime 1680642250.0
DEBUG 2024-10-26 17:13:38,569 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\shutil.py first seen with mtime 1680642250.0
DEBUG 2024-10-26 17:13:38,570 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1727679760.7740514
DEBUG 2024-10-26 17:13:38,570 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1727679760.8922758
DEBUG 2024-10-26 17:13:38,570 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\__init__.py first seen with mtime 1680642250.0
DEBUG 2024-10-26 17:13:38,570 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1727679760.6905699
DEBUG 2024-10-26 17:13:38,570 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\middleware\gzip.py first seen with mtime 1727679760.8707738
DEBUG 2024-10-26 17:13:38,570 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1727679760.7176366
DEBUG 2024-10-26 17:13:38,571 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1727679758.55172
DEBUG 2024-10-26 17:13:38,571 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1727679760.7560275
DEBUG 2024-10-26 17:13:38,571 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\email\mime\base.py first seen with mtime 1680642250.0
DEBUG 2024-10-26 17:13:38,571 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1727679758.883135
DEBUG 2024-10-26 17:13:38,571 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\utils\cache.py first seen with mtime 1727679760.8952813
DEBUG 2024-10-26 17:13:38,571 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1727679760.7835674
DEBUG 2024-10-26 17:13:38,572 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\process.py first seen with mtime 1680642250.0
DEBUG 2024-10-26 17:13:38,572 autoreload File C:\Users\ADMIN\Desktop\PyCharmProjects\django_projects\servak\venv\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1727679760.7520275
